us_state,rate_of_heart_disease,deaths
AL,237.5,14739
AK,139.8,915
AZ,144.8,14196
AR,222.5,8621
CA,144,66538
CO,128.1,8023
CT,138.4,7110
DE,159.6,2171
FL,143.1,49287
GA,183.7,21116
HI,125,2623
ID,151.9,3191
IL,171.4,27460
IN,183.9,15169
IA,172.9,7499
KS,167,6264
KY,204.5,11345
LA,221.5,12255
ME,146.2,3035
MD,168.3,12624
MA,126.9,11781
MI,205,27127
MN,118.1,8562
MS,245.6,8809
MO,196.7,15934
MT,162.7,2424
NE,143.8,3532
NV,201.3,7285
NH,146.5,2814
NJ,166.3,19744
NM,152.7,4219
NY,183.9,48546
NC,156.2,20373
ND,147.3,1449
OH,196.9,30547
OK,244.1,11758
OR,134,7371
PA,175.7,32936
RI,150.5,2319
SC,170.9,11385
SD,155.2,1820
TN,212,17943
TX,173.9,50281
UT,155.6,4251
VT,167.1,1521
VA,152,15678
WA,134.6,12084
WV,197.8,5123
WI,162.2,12641
WY,160.4,1174
